app_name,price,avg_rating,rating_count,size_mb,primary_genre,content_rating,language_count,has_iap,has_support_url,min_ios,is_game_center,age_days,update_recency_days
MindDoc: Mental Health Support,0.0,4.70573,29460,33.437696,Health & Fitness,17+,2,0,0,16.0,0,3661,14
Reflectly - Journal & AI Diary,0.0,4.56707,81716,72.59136,Health & Fitness,4+,1,0,0,15.0,0,3034,43
"Perspective, a mindful journal",0.0,4.7313,1604,55.471104,Health & Fitness,4+,1,0,0,10.0,0,3185,2420
Yoga Fit | Yoga for Beginners,0.0,4.81803,119118,483.003392,Health & Fitness,4+,18,0,0,15.0,0,2674,7
TripleGoal,0.0,4.59375,32,143.932416,Health & Fitness,4+,4,0,0,13.0,0,2934,106
MindSpa.com Sound Therapy,0.0,4.56536,18227,171.74528,Health & Fitness,4+,1,0,0,13.0,0,3263,0
HelloMind - Hypnosis & Therapy,0.0,4.13462,156,100.243456,Health & Fitness,4+,1,0,0,13.0,0,5612,253
Begin: Mindfulness & Wellbeing,0.0,4.57447,47,56.923136,Health & Fitness,4+,1,0,0,13.4,0,234,43
Guided Mindfulness Meditation,0.0,4.69474,95,107.809792,Health & Fitness,4+,10,0,0,13.4,0,4729,108
Harmony Self Hypnosis,0.0,4.80422,3877,79.193088,Health & Fitness,4+,1,0,0,16.6,0,5829,52
I am - Daily Affirmations,0.0,4.84692,685978,315.111424,Health & Fitness,4+,14,0,0,16.0,0,4208,1
Being Mindful,0.0,4.625,8,183.44448,Health & Fitness,4+,1,0,0,12.0,0,2667,1403
Mind Alcove: Daily Mindfulness,0.0,5,9,286.40256,Lifestyle,4+,1,0,0,16.2,0,1751,246
Breathing & HRV: MindBreath,0.0,4.76715,335,77.270016,Health & Fitness,12+,6,0,0,15.0,0,1448,7
Primed Mind: #1 Mindset App,0.0,4.89743,507,35.001344,Health & Fitness,12+,1,0,0,12.4,0,3102,617
Cingulo: Healing and Growth,0.0,4.95754,683,69.607424,Health & Fitness,12+,2,0,0,13,0,2190,61
Reframe Mind: Master Stress,0.0,4.35714,238,300.146688,Health & Fitness,12+,1,0,0,15.0,0,1416,769
Flow Lab: Growth Mindset Coach,0.0,4.83911,895,53.989376,Health & Fitness,4+,2,0,0,11.0,0,2535,375
MINDMOD: Hypnosis & Meditation,0.0,4.8582,134,66.929664,Health & Fitness,17+,1,0,0,13.4,0,487,21
MindStrong Sport,0.0,4.74157,89,155.015168,Health & Fitness,12+,1,0,0,14.0,0,1898,14
The Healing Mind,0.0,4.85714,42,54.953984,Health & Fitness,4+,1,0,0,14.0,0,1239,9
